"CIPFamily";"CIPCode";"Action";"TextChange";"CIPTitle";"CIPDefinition";"CrossReferences";"Examples"
"1";1;1;"No substantive changes";"no";"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.";"Instructional programs that focus on agriculture and related sciences and that prepare individuals to apply specific knowledge, methods, and techniques to the management and performance of agricultural operations.";"";" "
"2";1;1;"No substantive changes";"no";"Agriculture, General.";"Instructional content is defined in code 01.0000.";"";" "
"3";1;1;"No substantive changes";"no";"Agriculture, General.";"A program that focuses on the general principles and practice of agricultural research and production and that may prepare individuals to apply this knowledge to the solution of practical agricultural problems.  Includes instruction in basic animal, plant, and soil science; animal husbandry and plant cultivation; soil conservation; and agricultural operations such as farming, ranching, and agricultural business.";"14.0301 - Agricultural Engineering.";" "
"4";1;1.01;"No substantive changes";"no";"Agricultural Business and Management.";"Instructional content for this group of programs is defined in codes 01.0101 - 01.0199.";"";" "
"5";1;1.0101;"No substantive changes";"no";"Agricultural Business and Management, General.";"A  general program that focuses on modern business and economic principles involved in the organization, operation, and management of agricultural enterprises.";"";" "
"6";1;1.0102;"No substantive changes";"no";"Agribusiness/Agricultural Business Operations.";"A program that prepares individuals to manage agricultural businesses and agriculturally related operations within diversified corporations.  Includes instruction in agriculture, agricultural specialization, business management, accounting, finance, marketing, planning, human resources management, and other managerial responsibilities.";"";"Examples: - Agricultural Systems Management "
"7";1;1.0103;"No substantive changes";"no";"Agricultural Economics.";"A program that focuses on the application of economics to the analysis of resource allocation, productivity, investment, and trends in the agricultural sector, both domestically and internationally.  Includes instruction in economics and related subfields as well as applicable agricultural fields.";"03.0204 - Natural Resource Economics.";"Examples: - Agricultural Systems Management "
"8";1;1.0104;"No substantive changes";"no";"Farm/Farm and Ranch Management.";"A program that prepares individuals to manage farms, ranches, and similar enterprises.  Includes instruction in applicable agricultural specialization, business management, accounting, taxation, capitalization, purchasing, government programs and regulations, operational planning and budgeting, contracts and negotiation, and estate planning.";"";"Examples: - Agricultural Systems Management "
"9";1;1.0105;"No substantive changes";"no";"Agricultural/Farm Supplies Retailing and Wholesaling.";"A program  that prepares individuals to sell agricultural products and supplies, provide support services to agricultural enterprises, and purchase and market agricultural products.  Includes instruction in basic business management, marketing, retailing and wholesaling operations, and applicable principles of agriculture and agricultural operations.";"";"Examples: - Agricultural Systems Management "
"10";1;1.0106;"No substantive changes";"no";"Agricultural Business Technology.";"A program that prepares individuals to perform specialized support functions related to agricultural business offices and operations and to operate agricultural office equipment, software, and information systems.  Includes instruction in basic agricultural business principles, office management, equipment operation, standard software, and database management.";"";"Examples: - Agricultural Systems Management "
