"Original.code";"Original.title";"Action";"Text.change";"Current.code";"Current.title"
"1";1;"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.";"No substantive changes";"No";1;"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES. "
"2";1;"Agriculture, General.";"No substantive changes";"No";1;"Agriculture, General. "
"3";1;"Agriculture, General.";"No substantive changes";"No";1;"Agriculture, General. "
"4";1.01;"Agricultural Business and Management.";"No substantive changes";"No";1.01;"Agricultural Business and Management. "
"5";1.0101;"Agricultural Business and Management, General.";"No substantive changes";"No";1.0101;"Agricultural Business and Management, General. "
"6";1.0102;"Agribusiness/Agricultural Business Operations.";"No substantive changes";"No";1.0102;"Agribusiness/Agricultural Business Operations. "
"7";1.0103;"Agricultural Economics.";"No substantive changes";"No";1.0103;"Agricultural Economics. "
"8";1.0104;"Farm/Farm and Ranch Management.";"No substantive changes";"No";1.0104;"Farm/Farm and Ranch Management. "
"9";1.0105;"Agricultural/Farm Supplies Retailing and Wholesaling.";"No substantive changes";"No";1.0105;"Agricultural/Farm Supplies Retailing and Wholesaling. "
"10";1.0106;"Agricultural Business Technology.";"No substantive changes";"No";1.0106;"Agricultural Business Technology. "
"11";1.0199;"Agricultural Business and Management, Other.";"No substantive changes";"No";1.0199;"Agricultural Business and Management, Other. "
"12";1.02;"Agricultural Mechanization.";"No substantive changes";"No";1.02;"Agricultural Mechanization. "
"13";1.0201;"Agricultural Mechanization, General.";"No substantive changes";"No";1.0201;"Agricultural Mechanization, General. "
"14";1.0204;"Agricultural Power Machinery Operation.";"No substantive changes";"No";1.0204;"Agricultural Power Machinery Operation. "
"15";1.0205;"Agricultural Mechanics and Equipment/Machine Technology.";"No substantive changes";"No";1.0205;"Agricultural Mechanics and Equipment/Machine Technology. "
"16";1.0299;"Agricultural Mechanization, Other.";"No substantive changes";"No";1.0299;"Agricultural Mechanization, Other. "
"17";1.03;"Agricultural Production Operations.";"No substantive changes";"No";1.03;"Agricultural Production Operations. "
"18";1.0301;"Agricultural Production Operations, General.";"No substantive changes";"No";1.0301;"Agricultural Production Operations, General. "
"19";1.0302;"Animal/Livestock Husbandry and Production.";"No substantive changes";"No";1.0302;"Animal/Livestock Husbandry and Production. "
"20";1.0303;"Aquaculture.";"No substantive changes";"No";1.0303;"Aquaculture. "
